iteration, x
1, -4.845745211797625E-5
2, -0.0018483865639520119
3, -0.48173665440635793
4, -0.9975384344725422
5, -0.9975384344725422
6, -0.9975384344725422
7, -0.9975384344725422
8, -0.9975384344725422
9, -0.9975384344725422
10, -0.9975384344725422
11, -0.9975384344725422
12, -0.9975384344725422
13, -0.9975384344725422
14, -0.9975384344725422
15, -0.9975384344725422
16, -0.9975384344725422
17, -0.9975384344725422
18, -0.9975384344725422
19, -0.9975384344725422
20, -0.9975384344725422
21, -0.9975384344725422
22, -0.9975384344725422
23, -0.9975384344725422
24, -0.9975384344725422
25, -0.9975384344725422
26, -0.9975384344725422
27, -0.9975384344725422
28, -0.9975384344725422
29, -0.9975384344725422
30, -0.9975384344725422
31, -0.9975384344725422
32, -0.9975384344725422
33, -0.9975384344725422
34, -0.9975384344725422
35, -0.9975384344725422
36, -0.9975384344725422
37, -0.9975384344725422
38, -0.9975384344725422
39, -0.9975384344725422
40, -0.9975384344725422
41, -0.9975384344725422
42, -0.9975384344725422
43, -0.9975384344725422
44, -0.9975384344725422
45, -0.9975384344725422
46, -0.9975384344725422
47, -0.9996707374465221
48, -0.9996707374465221
49, -0.9996707374465221
50, -0.9996707374465221
51, -0.9996707374465221
52, -0.9996707374465221
53, -0.9996707374465221
54, -0.9996707374465221
55, -0.9996707374465221
56, -0.9996707374465221
57, -0.9996707374465221
58, -0.9996707374465221
59, -0.9996707374465221
60, -0.9996707374465221
61, -0.9996707374465221
62, -0.9996707374465221
63, -0.9996707374465221
64, -0.9996707374465221
65, -0.9996707374465221
66, -0.9996707374465221
67, -0.9996707374465221
68, -0.9996707374465221
69, -0.9996707374465221
70, -0.9996707374465221
71, -0.9996707374465221
72, -0.9996707374465221
73, -0.9996707374465221
74, -0.9996707374465221
75, -0.9996707374465221
76, -0.9996707374465221
77, -0.9996707374465221
78, -0.9996707374465221
79, -0.9996707374465221
80, -0.9996707374465221
81, -0.9996707374465221
82, -0.9996707374465221
83, -0.9996707374465221
84, -0.9996707374465221
85, -0.9996707374465221
86, -0.9996707374465221
87, -0.9996707374465221
88, -0.9996707374465221
89, -0.9996707374465221
90, -0.9996707374465221
91, -0.9996707374465221
92, -0.9996707374465221
93, -0.9996707374465221
94, -0.9996707374465221
95, -0.9996707374465221
96, -0.9996707374465221
97, -0.9996707374465221
98, -0.9996707374465221
99, -0.9996707374465221
100, -0.9996707374465221
